iter	Passed	Remaining
0	1	121
1	2	115
2	3	109
3	4	103
4	5	105
5	6	102
6	7	104
7	9	103
8	10	101
9	11	100
10	12	98
11	13	97
12	14	96
13	15	95
14	16	93
15	17	92
16	18	90
17	19	89
18	20	88
19	21	87
20	23	88
21	24	87
22	25	85
23	26	84
24	27	83
25	28	81
26	29	80
27	30	78
28	31	77
29	32	76
30	34	75
31	35	74
32	36	73
33	37	72
34	38	72
35	39	71
36	41	70
37	42	68
38	43	67
39	44	66
40	45	65
41	45	63
42	46	61
43	47	60
44	48	59
45	50	58
46	51	57
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	58	52
53	59	50
54	60	49
55	61	48
56	62	47
57	63	46
58	64	44
59	65	43
60	67	43
61	68	42
62	70	41
63	71	40
64	72	38
65	73	37
66	74	36
67	75	35
68	76	34
69	78	33
70	79	32
71	80	31
72	81	30
73	82	29
74	83	27
75	84	26
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	18
83	93	17
84	94	16
85	96	15
86	97	14
87	98	13
88	99	12
89	101	11
90	102	10
91	104	9
92	105	7
93	106	6
94	107	5
95	108	4
96	109	3
97	110	2
98	111	1
99	113	0
